building,lat,long,name,url
114 Ingraham Hall, 43.075911650562745, -89.40514986123497 ,Career exploration center,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2077.jpg?alt=media
1410 Engineering Drive, 43.07265620519052, -89.40962350170992 ,1410 engineering drive study room,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523831709124327390_base64_5_1676573970.jpg?alt=media
1410 Engineering Drive, 43.07265620519052, -89.40962350170992 ,1410 engineering drive computer lab,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523832479122021938_base64_5_1676574047.jpg?alt=media
Agricultural Engineering Building, 43.074876652283486, -89.41062139007126 ,Ag engineering basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527261930122742251_base64_5_1676916993.jpg?alt=media
Agricultural Engineering Building, 43.074876652283486, -89.41062139007126 ,Ag engineering 2nd floor lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527260710123443951_base64_5_1676916871.jpg?alt=media
Agronomy Hall, 42.028546909063216, -93.64238851896808 ,4th floor agronomy circle table,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527245700124330804_base64_5_1676915370.jpg?alt=media
Agronomy Hall, 42.028546909063216, -93.64238851896808 ,Basement of agronomy,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527249370121785660_base64_5_1676915737.jpg?alt=media
Agronomy Hall, 42.028546909063216, -93.64238851896808 ,Agronomy fishbowl,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527241580124504765_base64_5_1676914958.jpg?alt=media
Agronomy Hall, 42.028546909063216, -93.64238851896808 ,Other agronomy floors,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527244950122616866_base64_5_1676915295.jpg?alt=media
Animal Science Building, 43.076235560561074, -89.41520815938203 ,1st floor animal sciences,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2037.jpg?alt=media
Animal Science Building, 43.076235560561074, -89.41520815938203 ,Lobby of animal sciences,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2035.jpg?alt=media
Animal Science Building, 43.076235560561074, -89.41520815938203 ,Animal sciences library,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2036.jpg?alt=media
"Atmospheric, Oceanic and Space Sciences" , 43.07083915899583, -89.40691956123533 ,14 floor aoss,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524708472635167518_base64_5_1676661647.jpg?alt=media
"Atmospheric, Oceanic and Space Sciences" , 43.07083915899583, -89.40691956123533 ,Atmospheric sciences student study area floor 8,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524679809123154537_base64_5_1676658780.jpg?alt=media
"Atmospheric, Oceanic and Space Sciences" , 43.07083915899583, -89.40691956123533 ,Aoss library,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524706049126349959_base64_5_1676661404.jpg?alt=media
Babcock Hall, 43.07507786293, -89.41303967472665 ,Second floor Babcock,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2034.jpg?alt=media
Bascom Hall, 43.075827913806165, -89.40400640356276 ,Bascom Basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2080.jpg?alt=media
Bascom Hall, 43.075827913806165, -89.40400640356276 ,Bascom g,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2079.jpg?alt=media
